champion,champion_en,n_15_1,n_15_3,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp,pr_ci_low_pp,pr_ci_high_pp,winrate_15_1_pct,winrate_15_3_pct,winrate_diff_pp,wr_ci_low_pp,wr_ci_high_pp,riot_15_3_action,enough_sample
멜,Mel,0,825,0.0,1.778,1.778,1.658,1.898,,47.76,,,,ADJUSTMENT,False
다이애나,Diana,91,805,0.954,1.735,0.781,0.553,1.009,46.15,53.54,7.39,-3.42,18.19,,True
판테온,Pantheon,43,471,0.451,1.015,0.564,0.402,0.727,39.53,49.26,9.72,-5.57,25.02,,True
베인,Vayne,100,693,1.048,1.493,0.445,0.213,0.678,59.0,51.66,-7.34,-17.67,2.99,,True
워윅,Warwick,49,445,0.513,0.959,0.445,0.277,0.614,63.27,54.38,-8.88,-23.15,5.39,,True
제드,Zed,49,443,0.513,0.955,0.441,0.273,0.61,55.1,48.76,-6.34,-21.03,8.34,,True
초가스,Chogath,77,560,0.807,1.207,0.4,0.195,0.605,35.06,53.39,18.33,6.9,29.76,,True
케인,Kayn,72,534,0.754,1.151,0.396,0.197,0.595,48.61,54.31,5.7,-6.6,17.99,BUFF,True
징크스,Jinx,204,1173,2.138,2.528,0.39,0.067,0.713,49.51,52.17,2.66,-4.77,10.1,,True
트리스타나,Tristana,26,305,0.272,0.657,0.385,0.257,0.513,42.31,49.51,7.2,-12.6,27.0,,True
카이사,Kaisa,71,523,0.744,1.127,0.383,0.186,0.58,57.75,47.8,-9.95,-22.21,2.32,,True
마스터 이,MasterYi,42,363,0.44,0.782,0.342,0.187,0.497,52.38,51.79,-0.59,-16.55,15.36,,True
퀸,Quinn,11,191,0.115,0.412,0.296,0.207,0.386,63.64,50.26,-13.37,-42.67,15.92,BUFF,False
케일,Kayle,66,458,0.692,0.987,0.295,0.106,0.484,45.45,53.49,8.04,-4.81,20.89,,True
야스오,Yasuo,73,476,0.765,1.026,0.261,0.063,0.458,50.68,53.78,3.1,-9.22,15.41,,True
카르마,Karma,95,581,0.995,1.252,0.256,0.033,0.48,49.47,50.6,1.13,-9.72,11.97,,True
에코,Ekko,39,308,0.409,0.664,0.255,0.107,0.403,38.46,49.35,10.89,-5.37,27.15,,True
쓰레쉬,Thresh,93,570,0.975,1.228,0.254,0.033,0.475,41.94,48.6,6.66,-4.17,17.5,BUFF,True
가렌,Garen,64,429,0.671,0.924,0.254,0.068,0.439,53.13,50.12,-3.01,-16.12,10.1,,True
코그모,KogMaw,22,224,0.231,0.483,0.252,0.137,0.367,50.0,55.36,5.36,-16.53,27.24,,True
세트,Sett,57,388,0.597,0.836,0.239,0.063,0.414,52.63,50.0,-2.63,-16.52,11.25,,True
피즈,Fizz,16,178,0.168,0.384,0.216,0.116,0.315,25.0,41.57,16.57,-5.85,38.99,,False
볼리베어,Volibear,68,427,0.713,0.92,0.208,0.018,0.397,48.53,50.12,1.59,-11.2,14.38,,True
나서스,Nasus,28,232,0.293,0.5,0.207,0.08,0.333,53.57,52.16,-1.42,-20.98,18.14,BUFF,True
모르가나,Morgana,34,256,0.356,0.552,0.195,0.058,0.333,50.0,50.78,0.78,-17.11,18.67,,True
아지르,Azir,7,124,0.073,0.267,0.194,0.122,0.266,28.57,45.16,16.59,-18.0,51.18,,False
유미,Yuumi,53,342,0.555,0.737,0.182,0.013,0.35,37.74,50.0,12.26,-1.82,26.35,,True
바루스,Varus,55,348,0.576,0.75,0.174,0.003,0.345,45.45,52.3,6.84,-7.32,21.01,BUFF,True
자이라,Zyra,38,263,0.398,0.567,0.169,0.025,0.312,34.21,51.33,17.12,0.87,33.37,,True
브라이어,Briar,25,198,0.262,0.427,0.165,0.046,0.283,52.0,50.0,-2.0,-22.79,18.79,,True
트위치,Twitch,114,621,1.195,1.338,0.144,-0.098,0.385,41.23,53.78,12.56,2.71,22.41,,True
스웨인,Swain,46,290,0.482,0.625,0.143,-0.013,0.299,65.22,55.86,-9.36,-24.26,5.55,BUFF,True
샤코,Shaco,42,269,0.44,0.58,0.14,-0.01,0.289,54.76,44.24,-10.52,-26.7,5.66,,True
이즈리얼,Ezreal,149,786,1.561,1.694,0.132,-0.143,0.407,51.01,50.25,-0.75,-9.51,8.0,,True
티모,Teemo,29,199,0.304,0.429,0.125,-0.0,0.25,55.17,56.78,1.61,-17.75,20.98,NERF,True
트런들,Trundle,23,167,0.241,0.36,0.119,0.006,0.231,47.83,48.5,0.68,-21.1,22.45,,True
아칼리,Akali,47,284,0.493,0.612,0.119,-0.038,0.277,44.68,54.93,10.25,-5.1,25.6,,True
릴리아,Lillia,25,177,0.262,0.381,0.119,0.003,0.236,40.0,49.72,9.72,-10.85,30.29,,True
아펠리오스,Aphelios,39,244,0.409,0.526,0.117,-0.027,0.261,53.85,49.18,-4.67,-21.52,12.19,,True
람머스,Rammus,9,97,0.094,0.209,0.115,0.04,0.189,44.44,58.76,14.32,-19.59,48.23,,False
아트록스,Aatrox,56,325,0.587,0.7,0.114,-0.057,0.285,42.86,53.23,10.37,-3.68,24.42,,True
세주아니,Sejuani,25,172,0.262,0.371,0.109,-0.008,0.225,52.0,48.26,-3.74,-24.7,17.22,,True
트린다미어,Tryndamere,21,149,0.22,0.321,0.101,-0.006,0.208,61.9,51.68,-10.23,-32.49,12.04,,True
오른,Ornn,32,201,0.335,0.433,0.098,-0.033,0.228,50.0,48.26,-1.74,-20.39,16.91,,True
다리우스,Darius,84,454,0.88,0.978,0.098,-0.11,0.306,47.62,52.42,4.8,-6.82,16.43,,True
타릭,Taric,12,103,0.126,0.222,0.096,0.013,0.179,50.0,41.75,-8.25,-38.1,21.6,,False
잭스,Jax,48,278,0.503,0.599,0.096,-0.062,0.254,52.08,51.8,-0.28,-15.59,15.02,BUFF,True
녹턴,Nocturne,75,405,0.786,0.873,0.087,-0.11,0.283,52.0,45.93,-6.07,-18.38,6.23,,True
애니,Annie,15,112,0.157,0.241,0.084,-0.007,0.175,26.67,52.68,26.01,1.8,50.23,,False
쉬바나,Shyvana,16,115,0.168,0.248,0.08,-0.014,0.174,68.75,45.22,-23.53,-48.0,0.93,,False
흐웨이,Hwei,62,338,0.65,0.728,0.079,-0.1,0.257,48.39,49.7,1.32,-12.22,14.85,,True
아리,Ahri,70,376,0.734,0.81,0.077,-0.113,0.266,41.43,48.67,7.24,-5.36,19.84,,True
바이,Vi,57,312,0.597,0.672,0.075,-0.097,0.247,52.63,51.28,-1.35,-15.45,12.75,,True
엘리스,Elise,60,326,0.629,0.702,0.074,-0.102,0.25,48.33,47.85,-0.48,-14.24,13.28,ADJUSTMENT,True
이블린,Evelynn,25,155,0.262,0.334,0.072,-0.043,0.187,44.0,54.84,10.84,-10.14,31.82,BUFF,True
카직스,Khazix,44,247,0.461,0.532,0.071,-0.08,0.222,47.73,52.63,4.9,-11.11,20.92,,True
요릭,Yorick,33,193,0.346,0.416,0.07,-0.061,0.202,54.55,53.37,-1.18,-19.57,17.21,,True
신 짜오,XinZhao,39,221,0.409,0.476,0.068,-0.075,0.21,33.33,58.82,25.49,9.33,41.65,,True
나미,Nami,143,724,1.498,1.56,0.062,-0.207,0.33,48.25,50.97,2.72,-6.25,11.68,,True
아크샨,Akshan,39,217,0.409,0.468,0.059,-0.083,0.201,41.03,54.84,13.81,-2.98,30.61,,True
말파이트,Malphite,67,353,0.702,0.761,0.059,-0.127,0.244,46.27,50.42,4.16,-8.87,17.19,,True
밀리오,Milio,82,426,0.859,0.918,0.059,-0.146,0.263,59.76,53.76,-6.0,-17.62,5.62,,True
FiddleSticks,FiddleSticks,33,186,0.346,0.401,0.055,-0.076,0.186,54.55,48.39,-6.16,-24.6,12.29,,True
사이온,Sion,40,218,0.419,0.47,0.051,-0.093,0.194,40.0,44.5,4.5,-12.06,21.05,,True
하이머딩거,Heimerdinger,12,82,0.126,0.177,0.051,-0.03,0.132,41.67,53.66,11.99,-17.92,41.9,,False
바드,Bard,26,150,0.272,0.323,0.051,-0.066,0.167,38.46,45.33,6.87,-13.46,27.2,,True
닐라,Nilah,19,116,0.199,0.25,0.051,-0.049,0.151,63.16,55.17,-7.99,-31.49,15.52,,False
레넥톤,Renekton,35,193,0.367,0.416,0.049,-0.086,0.184,40.0,47.15,7.15,-10.54,24.84,,True
올라프,Olaf,13,84,0.136,0.181,0.045,-0.039,0.128,69.23,50.0,-19.23,-46.5,8.04,,False
럼블,Rumble,8,59,0.084,0.127,0.043,-0.023,0.11,37.5,42.37,4.87,-30.97,40.71,,False
레오나,Leona,65,335,0.681,0.722,0.041,-0.141,0.223,49.23,53.13,3.9,-9.37,17.18,,True
그레이브즈,Graves,35,188,0.367,0.405,0.038,-0.096,0.173,51.43,44.68,-6.75,-24.77,11.27,,True
나피리,Naafiri,11,70,0.115,0.151,0.036,-0.041,0.112,36.36,40.0,3.64,-27.02,34.29,,False
스몰더,Smolder,46,240,0.482,0.517,0.035,-0.118,0.189,45.65,47.92,2.26,-13.46,17.99,,True
우디르,Udyr,28,152,0.293,0.328,0.034,-0.086,0.154,50.0,48.68,-1.32,-21.47,18.84,,True
킨드레드,Kindred,30,161,0.314,0.347,0.033,-0.092,0.157,50.0,52.8,2.8,-16.69,22.28,,True
벡스,Vex,20,112,0.21,0.241,0.032,-0.07,0.134,50.0,56.25,6.25,-17.51,30.01,,True
누누와 윌럼프,Nunu,40,208,0.419,0.448,0.029,-0.114,0.172,62.5,59.13,-3.37,-19.79,13.06,,True
아무무,Amumu,69,348,0.723,0.75,0.027,-0.16,0.214,42.03,55.75,13.72,0.96,26.48,,True
브랜드,Brand,31,163,0.325,0.351,0.026,-0.1,0.153,41.94,53.37,11.44,-7.55,30.42,,True
케이틀린,Caitlyn,178,874,1.865,1.883,0.018,-0.28,0.316,50.0,50.34,0.34,-7.72,8.4,,True
세나,Senna,51,256,0.534,0.552,0.017,-0.144,0.178,58.82,53.13,-5.7,-20.52,9.13,,True
아이번,Ivern,14,76,0.147,0.164,0.017,-0.068,0.102,57.14,61.84,4.7,-23.43,32.83,,False
문도 박사,DrMundo,33,168,0.346,0.362,0.016,-0.114,0.146,51.52,50.0,-1.52,-20.17,17.14,,True
클레드,Kled,12,64,0.126,0.138,0.012,-0.067,0.091,50.0,51.56,1.56,-29.26,32.39,,False
노틸러스,Nautilus,63,311,0.66,0.67,0.01,-0.169,0.189,50.79,49.84,-0.95,-14.49,12.58,,True
뽀삐,Poppy,35,174,0.367,0.375,0.008,-0.125,0.142,48.57,50.0,1.43,-16.72,19.58,,True
직스,Ziggs,16,79,0.168,0.17,0.003,-0.088,0.093,37.5,39.24,1.74,-24.31,27.79,,False
탈리야,Taliyah,15,74,0.157,0.159,0.002,-0.085,0.09,60.0,50.0,-10.0,-37.28,17.28,,False
갱플랭크,Gangplank,22,108,0.231,0.233,0.002,-0.104,0.108,31.82,56.48,24.66,3.07,46.26,,True
쉔,Shen,43,208,0.451,0.448,-0.002,-0.15,0.145,44.19,48.56,4.37,-11.95,20.7,,True
라이즈,Ryze,24,114,0.251,0.246,-0.006,-0.116,0.104,54.17,48.25,-5.92,-27.86,16.02,,True
말자하,Malzahar,65,313,0.681,0.674,-0.007,-0.188,0.174,56.92,47.92,-9.0,-22.25,4.25,,True
피오라,Fiora,30,142,0.314,0.306,-0.008,-0.131,0.115,66.67,49.3,-17.37,-36.14,1.4,,True
사미라,Samira,58,275,0.608,0.593,-0.015,-0.186,0.156,44.83,53.09,8.26,-5.83,22.36,BUFF,True
트위스티드 페이트,TwistedFate,18,79,0.189,0.17,-0.018,-0.113,0.076,50.0,44.3,-5.7,-31.26,19.87,,False
니코,Neeko,19,83,0.199,0.179,-0.02,-0.118,0.077,42.11,50.6,8.5,-16.17,33.17,ADJUSTMENT,False
소라카,Soraka,51,237,0.534,0.511,-0.024,-0.184,0.136,41.18,47.68,6.5,-8.43,21.43,,True
리산드라,Lissandra,59,276,0.618,0.595,-0.024,-0.196,0.149,42.37,47.1,4.73,-9.19,18.65,,True
라칸,Rakan,29,130,0.304,0.28,-0.024,-0.144,0.097,44.83,46.92,2.1,-17.94,22.13,BUFF,True
케넨,Kennen,29,130,0.304,0.28,-0.024,-0.144,0.097,55.17,58.46,3.29,-16.7,23.27,,True
레나타 글라스크,Renata,17,71,0.178,0.153,-0.025,-0.117,0.067,47.06,52.11,5.05,-21.37,31.47,,False
제리,Zeri,24,105,0.251,0.226,-0.025,-0.135,0.084,33.33,55.24,21.9,0.78,43.03,,True
아우렐리온 솔,AurelionSol,29,125,0.304,0.269,-0.035,-0.155,0.086,37.93,56.8,18.87,-0.81,38.55,,True
벨코즈,Velkoz,56,255,0.587,0.549,-0.037,-0.205,0.13,51.79,48.24,-3.55,-18.0,10.9,,True
파이크,Pyke,52,234,0.545,0.504,-0.041,-0.202,0.12,34.62,44.87,10.26,-4.16,24.67,,True
시비르,Sivir,46,200,0.482,0.431,-0.051,-0.202,0.1,50.0,52.0,2.0,-14.02,18.02,,True
카밀,Camille,36,150,0.377,0.323,-0.054,-0.187,0.079,47.22,47.33,0.11,-18.05,18.27,,True
요네,Yone,101,465,1.058,1.002,-0.056,-0.281,0.168,45.54,52.69,7.14,-3.58,17.86,,True
르블랑,Leblanc,35,139,0.367,0.3,-0.067,-0.198,0.064,60.0,44.6,-15.4,-33.61,2.82,,True
오로라,Aurora,72,316,0.754,0.681,-0.074,-0.263,0.116,44.44,51.27,6.82,-5.91,19.55,,True
신지드,Singed,26,91,0.272,0.196,-0.076,-0.188,0.036,46.15,41.76,-4.4,-26.07,17.28,,True
니달리,Nidalee,19,56,0.199,0.121,-0.078,-0.173,0.016,36.84,51.79,14.94,-10.39,40.28,,False
우르곳,Urgot,45,182,0.472,0.392,-0.079,-0.228,0.069,48.89,57.69,8.8,-7.47,25.08,,True
알리스타,Alistar,33,123,0.346,0.265,-0.081,-0.207,0.046,36.36,47.15,10.79,-7.84,29.42,,True
질리언,Zilean,40,157,0.419,0.338,-0.081,-0.221,0.059,52.5,49.68,-2.82,-20.16,14.52,,True
소나,Sona,32,118,0.335,0.254,-0.081,-0.206,0.044,43.75,55.08,11.33,-8.06,30.73,,True
자야,Xayah,40,157,0.419,0.338,-0.081,-0.221,0.059,30.0,43.31,13.31,-2.87,29.49,,True
애니비아,Anivia,30,106,0.314,0.228,-0.086,-0.206,0.034,46.67,59.43,12.77,-7.38,32.92,,True
자르반 4세,JarvanIV,86,377,0.901,0.812,-0.089,-0.295,0.118,48.84,48.81,-0.03,-11.74,11.68,,True
럭스,Lux,134,609,1.404,1.312,-0.092,-0.35,0.166,49.25,49.43,0.17,-9.18,9.52,,True
탈론,Talon,49,195,0.513,0.42,-0.093,-0.248,0.062,57.14,40.51,-16.63,-32.11,-1.15,,True
나르,Gnar,42,160,0.44,0.345,-0.095,-0.238,0.048,45.24,51.25,6.01,-10.92,22.94,,True
벨베스,Belveth,26,82,0.272,0.177,-0.096,-0.207,0.016,53.85,46.34,-7.5,-29.5,14.49,,True
오리아나,Orianna,50,196,0.524,0.422,-0.102,-0.258,0.055,50.0,46.94,-3.06,-18.58,12.46,,True
칼리스타,Kalista,33,111,0.346,0.239,-0.107,-0.233,0.019,36.36,50.45,14.09,-4.78,32.95,,True
모데카이저,Mordekaiser,76,319,0.796,0.687,-0.109,-0.303,0.085,38.16,52.66,14.51,2.29,26.73,,True
렝가,Rengar,51,196,0.534,0.422,-0.112,-0.27,0.046,43.14,53.57,10.43,-4.85,25.72,,True
그라가스,Gragas,64,256,0.671,0.552,-0.119,-0.296,0.058,53.13,46.88,-6.25,-19.92,7.42,,True
렉사이,RekSai,19,37,0.199,0.08,-0.119,-0.212,-0.026,47.37,29.73,-17.64,-44.49,9.21,,False
카사딘,Kassadin,40,139,0.419,0.3,-0.12,-0.258,0.019,47.5,51.8,4.3,-13.27,21.86,,True
갈리오,Galio,54,203,0.566,0.437,-0.128,-0.29,0.034,50.0,52.22,2.22,-12.79,17.22,NERF,True
키아나,Qiyana,33,99,0.346,0.213,-0.132,-0.258,-0.007,54.55,49.49,-5.05,-24.69,14.59,,True
신드라,Syndra,110,472,1.153,1.017,-0.136,-0.368,0.097,46.36,51.06,4.7,-5.66,15.05,,True
조이,Zoe,40,125,0.419,0.269,-0.15,-0.288,-0.012,50.0,44.8,-5.2,-22.98,12.58,,True
이렐리아,Irelia,75,291,0.786,0.627,-0.159,-0.35,0.032,48.0,50.17,2.17,-10.51,14.85,,True
블리츠크랭크,Blitzcrank,47,153,0.493,0.33,-0.163,-0.313,-0.013,51.06,42.48,-8.58,-24.88,7.72,,True
루시안,Lucian,58,204,0.608,0.44,-0.168,-0.335,-0.001,55.17,48.04,-7.13,-21.65,7.39,,True
크산테,KSante,53,172,0.555,0.371,-0.185,-0.344,-0.026,47.17,43.6,-3.57,-18.91,11.78,,True
드레이븐,Draven,79,298,0.828,0.642,-0.186,-0.381,0.01,53.16,44.63,-8.53,-20.9,3.83,,True
자크,Zac,57,188,0.597,0.405,-0.192,-0.357,-0.027,49.12,52.66,3.54,-11.27,18.35,,True
마오카이,Maokai,69,244,0.723,0.526,-0.197,-0.38,-0.015,63.77,54.92,-8.85,-21.8,4.1,,True
진,Jhin,157,669,1.645,1.442,-0.204,-0.481,0.074,56.05,50.07,-5.98,-14.62,2.66,,True
일라오이,Illaoi,39,85,0.409,0.183,-0.226,-0.359,-0.092,61.54,54.12,-7.42,-26.0,11.16,,True
베이가,Veigar,65,209,0.681,0.45,-0.231,-0.407,-0.055,61.54,49.28,-12.26,-25.89,1.38,,True
암베사,Ambessa,69,228,0.723,0.491,-0.232,-0.413,-0.05,47.83,47.37,-0.46,-13.91,12.99,ADJUSTMENT,True
제라스,Xerath,77,266,0.807,0.573,-0.234,-0.426,-0.041,49.35,45.11,-4.24,-16.91,8.43,,True
제이스,Jayce,45,107,0.472,0.231,-0.241,-0.385,-0.097,42.22,38.32,-3.9,-21.03,13.22,NERF,True
브라움,Braum,71,233,0.744,0.502,-0.242,-0.426,-0.058,57.75,47.21,-10.54,-23.69,2.62,,True
카타리나,Katarina,106,400,1.111,0.862,-0.249,-0.475,-0.022,47.17,52.0,4.83,-5.86,15.52,,True
세라핀,Seraphine,50,126,0.524,0.272,-0.252,-0.405,-0.1,46.0,46.03,0.03,-16.3,16.36,,True
리 신,LeeSin,80,272,0.838,0.586,-0.252,-0.448,-0.057,56.25,53.68,-2.57,-14.95,9.81,,True
애쉬,Ashe,63,187,0.66,0.403,-0.257,-0.43,-0.085,55.56,48.66,-6.89,-21.1,7.32,,True
렐,Rell,66,199,0.692,0.429,-0.263,-0.439,-0.086,51.52,46.23,-5.28,-19.19,8.62,NERF,True
카시오페아,Cassiopeia,70,214,0.734,0.461,-0.272,-0.454,-0.09,54.29,51.4,-2.88,-16.34,10.57,NERF,True
사일러스,Sylas,106,381,1.111,0.821,-0.29,-0.516,-0.064,55.66,52.49,-3.17,-13.87,7.54,,True
탐 켄치,TahmKench,83,267,0.87,0.575,-0.294,-0.493,-0.096,53.01,49.81,-3.2,-15.5,9.1,,True
룰루,Lulu,214,900,2.242,1.939,-0.303,-0.626,0.019,51.87,55.44,3.58,-3.87,11.02,,True
그웬,Gwen,66,176,0.692,0.379,-0.312,-0.488,-0.137,51.52,49.43,-2.08,-16.22,12.06,,True
스카너,Skarner,58,118,0.608,0.254,-0.354,-0.516,-0.191,55.17,42.37,-12.8,-28.4,2.8,NERF,True
카서스,Karthus,58,111,0.608,0.239,-0.369,-0.531,-0.206,37.93,54.95,17.02,1.48,32.57,,True
헤카림,Hecarim,96,290,1.006,0.625,-0.381,-0.594,-0.168,45.83,51.72,5.89,-5.62,17.4,,True
